innings,over,Bowlername,Batsmanname,runs,wicket,description,nh/h,wickettype,wickethelper,extras,ballspeed(kph)
1,11.6,D Bishoo,V Kohli,0,false,finds point with a drive off the front foot. Good first over from Bishoo - the line was constantly on off stump and there's turn on offer too,non-home run,no wicket,no wicket,no extra,77.730
1,12.1,AR Nurse,AT Rayudu,1,false,rocks back in tune to the short length delivery and cuts through point,non-home run,no wicket,no wicket,no extra,87.973
1,12.2,AR Nurse,V Kohli,1,false,rocks back and drills the back of a length delivery to long-on,non-home run,no wicket,no wicket,no extra,89.917
1,12.3,AR Nurse,AT Rayudu,0,false,pushes it through quicker and Rayudu is unable to find gaps between the bowler and a wide mid-on,non-home run,no wicket,no wicket,no extra,91.858
1,12.4,AR Nurse,AT Rayudu,0,false,loops it up onto off stump  Rayudu digs it out with a whirl of his wrists,non-home run,no wicket,no wicket,no extra,82.992
1,12.5,AR Nurse,AT Rayudu,4,false,spears it through extra cover! Beautiful shot  because it's against the turn  and he knows it. He knows he needs to get to the pitch of it  so he gets a long stride forward  stays legside of the ball as well to have the room to unfurl a proper punch with a straight bat,home run,no wicket,no wicket,no extra,92.854
1,12.6,AR Nurse,AT Rayudu,1,false,now he knows the bowler will pull his length back and he's waiting. Quick push into the crease and a flick through square leg,non-home run,no wicket,no wicket,no extra,91.525
1,13.1,D Bishoo,AT Rayudu,0,false,appeal for lbw from the keeper as Rayudu steps down the pitch and blocks outside the line of a skidder on middle stump.,non-home run,no wicket,no wicket,no extra,
1,13.2,D Bishoo,AT Rayudu,4,false,superbly driven again  this time through point! He's an amazing striker of spin bowling because his footwork is no-nonsense. Sees a tossed up ball  immediately goes down the pitch and picks the gap,home run,no wicket,no wicket,no extra,85.908
1,13.3,D Bishoo,AT Rayudu,2,false,another hop  skip and jump down the pitch for a whip through midwicket. Quick running gets them two,non-home run,no wicket,no wicket,no extra,86.225
1,13.4,D Bishoo,AT Rayudu,0,false,beats him and there's evidence that this pitch is made for the spinners. A lovely  good length delivery  with loads of revs pitches on middle stump and leaps past the outside edge,non-home run,no wicket,no wicket,no extra,84.883
1,13.5,D Bishoo,AT Rayudu,0,false,,non-home run,no wicket,no wicket,no extra,
1,13.6,D Bishoo,AT Rayudu,1,false,shimmies down the pitch to work the ball to mid-on. The amount of turn Bishoo's getting must be making India wary. That's why Rayudu is advancing every other ball  to smother it and make sure the legspinner doesn't get in rhythm,non-home run,no wicket,no wicket,no extra,
1,14.1,AR Nurse,AT Rayudu,1,false,short ball  and Rayudu gets down low to pull it behind square leg,non-home run,no wicket,no wicket,no extra,86.364
1,14.2,AR Nurse,V Kohli,1,false,flays the tossed up delivery outside off to long-off,non-home run,no wicket,no wicket,no extra,88.441
1,14.3,AR Nurse,AT Rayudu,1,false,a gentle nudge  off the front foot  to the right of midwicket,non-home run,no wicket,no wicket,no extra,
1,14.4,AR Nurse,V Kohli,4,false,outside edge  scurries away. This is good bowling from Nurse  drawing the right-hander out to play away from his body with his drift. Kohli is looking for runs through point  instead he gets a lucky break at third man,home run,no wicket,no wicket,no extra,85.556
1,14.5,AR Nurse,V Kohli,1,false,gets off strike with a push to long-on,non-home run,no wicket,no wicket,no extra,91.723
1,14.6,AR Nurse,AT Rayudu,1,false,shifts back in his crease for a tap to long-on,non-home run,no wicket,no wicket,no extra,90.542
1,15.1,D Bishoo,AT Rayudu,1,false,quicker through the air  but still very full and outside off. That means Rayudu has precious few options other than opening the face and finding a single in the covers,non-home run,no wicket,no wicket,no extra,85.224
1,15.2,D Bishoo,V Kohli,0,false,good length on off stump  Kohli is right over the top of the ball with a defensive bat,non-home run,no wicket,no wicket,no extra,83.383
1,15.3,D Bishoo,V Kohli,1,false,looms over the pitch of the ball and then brings his wrists into play for a single to long-on,non-home run,no wicket,no wicket,no extra,
1,15.4,D Bishoo,AT Rayudu,0,false,steps out of his crease seeing a slow  well tossed up delivery. But it drifts into him just a tiny bit. ruining his plans for a glorious cover drive,non-home run,no wicket,no wicket,no extra,
1,15.5,D Bishoo,AT Rayudu,0,false,shortish and outside off  he chops it into the covers. Not enough room to exploit it,non-home run,no wicket,no wicket,no extra,78.876
1,15.6,D Bishoo,AT Rayudu,1,false,more drift into the right-hander  and Rayudu has to work overtime to keep his front foot away from the swing of his bat. Manages it and flicks the ball through midwicket,non-home run,no wicket,no wicket,no extra,81.996
1,16.1,AR Nurse,AT Rayudu,1,false,uses the depth of the crease well to flick a shortish delivery on off stump away to deep square leg,non-home run,no wicket,no wicket,no extra,82.284
1,16.2,AR Nurse,V Kohli,0,false,draws him forward outside off  Kohli knows he isn't to the pitch of the ball  and that this is a slow pitch too. So he makes sure to simply block,non-home run,no wicket,no wicket,no extra,88.688
1,16.3,AR Nurse,V Kohli,1,false,taps a flighted delivery outside off to long-on,non-home run,no wicket,no wicket,no extra,88.939
1,16.4,AR Nurse,AT Rayudu,0,false,quicker and flatter and has just enough room for Rayudu to indulge in a late cut. He finds the backward point fielder though,non-home run,no wicket,no wicket,no extra,96.205
1,16.5,AR Nurse,AT Rayudu,1,false,soft hands as he goes back and blocks a good length ball on off stump. But as he does so  he opens the face and pinches a single to Holder at point,non-home run,no wicket,no wicket,no extra,86.119
1,16.6,AR Nurse,V Kohli,1,false,lets the length ball turn into him from outside off and taps it through midwicket. That's drinks,non-home run,no wicket,no wicket,no extra,81.080
1,17.1,D Bishoo,V Kohli,4,false,too flat  too straight  and too easy for Kohli. He's very good at waiting for these bad balls now. And he was always good at putting them away. Flicks it behind square leg  well to the right of the man in the deep,home run,no wicket,no wicket,no extra,83.483
1,17.2,D Bishoo,V Kohli,0,false,loops it up on middle - the drift taking it into the right-hander and the subsequent turn looking for the outside edge - and that's why Kohli defends,non-home run,no wicket,no wicket,no extra,89.151
1,17.3,D Bishoo,V Kohli,4,false,outstanding cricket - this time off the back foot. It's only a shade short  not even that wide. But Kohli makes the room himself and cracks it to the left of Hetmyer at point,home run,no wicket,no wicket,no extra,84.663
1,17.4,D Bishoo,V Kohli,0,false,beats him with a jaffa! There's only a feather's width between the ball and the outside edge as Kohli is drawn forward to block a shade outside the off stump. Credit for Bishoo for adjusting his line  but not compromising on a full length,non-home run,no wicket,no wicket,no extra,83.485
1,17.5,D Bishoo,V Kohli,1,false,chops it away through the covers,non-home run,no wicket,no wicket,no extra,85.767
1,17.6,D Bishoo,AT Rayudu,1,false,too short  Rayudu leaps back and pulls to deep midwicket,non-home run,no wicket,no wicket,no extra,86.776
1,18.1,OC McCoy,AT Rayudu,0,false,back of a length on off stump  Rayudu slices it to point,non-home run,no wicket,no wicket,no extra,
1,18.2,OC McCoy,AT Rayudu,0,false,shifts himself towards the off stump to handle the left-arm angle and then works it off his hips towards midwicket. Good bounce from the tall quick.,non-home run,no wicket,no wicket,no extra,130.172
1,18.3,OC McCoy,AT Rayudu,0,false,good work at point by Hetmyer  running and diving to his left to stop Rayudu from getting off strike with his glide off an open face,non-home run,no wicket,no wicket,no extra,134.565
1,18.4,OC McCoy,AT Rayudu,1,false,gets it up high into the ribs again  but Rayudu is able to work it towards square leg.,non-home run,no wicket,no wicket,no extra,129.826
1,18.5,OC McCoy,V Kohli,2,false,width on offer and so Kohli stands tall and taps it to the the sweeper,non-home run,no wicket,no wicket,no extra,128.617
1,18.6,OC McCoy,V Kohli,1,false,on middle and leg  Kohli waits on it and flicks through midwicket,non-home run,no wicket,no wicket,no extra,132.921
1,19.1,D Bishoo,V Kohli,0,false,almost plays on! Odd shot to play to a near yorker - staying legside of it and trying to helicopter it away. Maybe he's heard all of us yapping about Dhoni and not yapping about him. And for that trouble  the ball pings off the bat  onto the boot and nearly rolls onto the stumps,non-home run,no wicket,no wicket,no extra,
1,19.2,D Bishoo,V Kohli,1,false,eases it to long-on,non-home run,no wicket,no wicket,no extra,
1,19.3,D Bishoo,AT Rayudu,0,false,good length ball on off stump  defends,non-home run,no wicket,no wicket,no extra,
1,19.4,D Bishoo,AT Rayudu,0,false,quicker delivery on off stump. This is the one that tempts the batsman to cut but the pace on it ensures he gets bowled. Rayudu does cut  but his hands are quick enough to make contact,non-home run,no wicket,no wicket,no extra,83.398
1,19.5,D Bishoo,AT Rayudu,1,false,taps it to long-on,non-home run,no wicket,no wicket,no extra,83.282
1,19.6,D Bishoo,V Kohli,2,false,guides it past the right of Holder at slip  a fully intentional shot  which he even kept along the ground to get the couple of runs he wanted,non-home run,no wicket,no wicket,no extra,88.773
1,20.1,OC McCoy,AT Rayudu,0,false,length ball on off  and angling across him. Steers it to point with minimal footwork,non-home run,no wicket,no wicket,no extra,
1,20.2,OC McCoy,AT Rayudu,4,false,pulled behind square! Short on off  and he swivels to smack this right over the square-leg umpire  and just beyond the fielder in the deep. One bounce and over the ropes,home run,no wicket,no wicket,no extra,134.004
